#Clients,#Trees,Client,Fed_CI_Clients,Fed_CI_Server,Fed_IBS_Clients,Fed_IBS_Server
2,10,80.97+0.97,83.29+1.15,83.25+0.96,83.28+1.20,83.07+0.98
,100,80.89+1.03,84.05+1.51,84.06+1.44,84.01+1.53,84.03+1.42
5,10,80.76+1.44,81.51+1.48,81.52+0.72,81.34+1.52,81.43+0.70
,100,80.35+1.46,82.63+1.46,82.64+0.72,82.58+1.48,82.56+0.72
,1000,80.30+1.55,82.88+1.62,82.92+0.72,82.86+1.61,82.91+0.72
10,10,79.85+2.37,80.78+2.23,80.45+0.56,80.52+2.18,80.29+0.58
,100,79.78+2.26,81.81+2.12,81.75+0.58,81.75+2.15,81.67+0.59
,1000,80.05+2.39,81.92+2.10,81.90+0.68,81.90+2.10,81.87+0.68
