#Clients,#Trees,Client,Fed_CI_Clients,Fed_CI_Server,Fed_IBS_Clients,Fed_IBS_Server
2,10,13.48+0.49,15.79+1.91,16.23+1.97,15.66+1.89,16.33+1.94
,100,13.47+0.49,13.68+0.60,13.64+0.67,13.67+0.60,13.63+0.67
5,10,13.37+0.73,14.86+1.87,15.50+1.86,14.67+1.91,14.86+1.76
,100,13.48+1.50,13.70+0.73,13.60+0.31,13.67+0.73,13.57+0.31
,1000,13.46+0.84,13.57+0.78,13.51+0.24,13.55+0.78,13.50+0.24
10,10,13.57+1.12,14.58+1.74,14.99+1.64,14.06+1.25,14.29+1.30
,100,13.47+1.09,13.72+1.06,13.75+0.28,13.67+1.06,13.70+0.28
,1000,13.37+1.07,13.82+1.05,13.63+0.28,13.79+1.04,13.60+0.28
