#Clients,#Trees,Client,Fed_CI_C,Fed_CI_S,Fed_IBS_C,Fed_IBS_S
2,10,61.01+1.58,63.33+1.23,60.66,62.11+1.32,60.68
,100,61.01+1.58,63.44+1.73,61.82,62.68+1.54,61.96
10,10,60.28+2.33,61.59+2.67,60.46,60.84+1.98,60.44
,100,60.28+2.33,63.44+2.53,61.90,62.71+2.39,61.77
,1000,60.28+2.33,63.07+2.20,62.13,62.86+2.29,61.97
,100,54.63+11.03,60.21+10.69,59.95,60.51+9.95,60.81
,1000,54.86+11.05,62.14+10.21,61.18,61.34+10.18,61.39
,10000,54.51+10.72,60.72+10.26,60.79,61.68+10.17,61.55
