#Clients,#Trees,Client,Fed_CI_C,Fed_CI_S,Fed_IBS_C,Fed_IBS_S
2,10,13.45+0.47,13.53+0.40,13.07,13.47+0.39,13.04
,100,13.45+0.47,13.46+0.39,13.01,13.45+0.39,13.01
10,10,13.78+1.17,14.33+1.27,13.35,14.14+1.20,13.19
,100,13.76+1.11,14.15+1.20,13.18,14.09+1.19,13.13
,1000,13.76+1.11,14.07+1.19,13.11,14.04+1.18,13.09
,100,15.24+3.62,16.55+3.59,14.16,16.60+3.60,14.25
,1000,15.19+3.59,16.30+3.52,13.96,16.25+3.50,13.91
,10000,15.18+3.61,15.68+3.32,13.46,15.83+3.36,13.57
