#Clients,#Trees,Client,Fed_CI_Clients,Fed_CI_Server,Fed_IBS_Clients,Fed_IBS_Server
2,10,63.72+3.08,68.52+3.62,67.78+2.39,67.70+3.72,67.09+2.63
,100,63.82+2.79,68.70+3.68,68.63+2.50,68.23+3.73,68.21+2.67
5,10,62.16+4.87,65.94+4.27,65.66+1.73,65.68+4.64,65.31+2.00
,100,61.98+4.81,67.13+4.37,66.79+1.33,66.91+4.39,66.49+1.51
,1000,62.11+4.62,67.82+4.31,67.75+1.15,67.76+4.28,67.65+1.18
10,10,61.26+6.98,64.42+6.62,64.27+1.51,64.55+6.33,64.19+1.86
,100,60.83+6.78,66.53+6.45,66.63+1.35,66.31+6.32,66.48+1.43
,1000,60.51+6.49,66.28+5.62,66.43+1.15,66.18+5.75,66.38+1.18
