client_id,CI,IBS
3,0.909234411996843,0.17178334536493056
7,0.9129502572898799,0.1330366504147583
1,0.9010244834172599,0.2991234915155018
2,0.9170673076923077,0.21072620995911046
5,0.9498392282958199,0.1692867981465306
8,0.9221896383186706,0.17246342340130805
4,0.92723149866007,0.1469636909535079
9,0.9531400966183575,0.12406706454331508
6,0.9121685160804965,0.18612459442019025
10,0.9184910086004691,0.16955069701356884
Fed_IBS_client_1,0.9088383399895815,0.21514838131891767
Fed_IBS_client_2,0.9229767628205128,0.17092620192628225
Fed_IBS_client_3,0.9308405682715075,0.1775460734747325
Fed_IBS_client_4,0.9243454957740672,0.1613768054234308
Fed_IBS_client_5,0.9515541264737406,0.1695098598636977
Fed_IBS_client_6,0.9074666165130713,0.18826984125738142
Fed_IBS_client_7,0.9365351629502573,0.14583914102743384
Fed_IBS_client_8,0.9239491691104594,0.1698488767353034
Fed_IBS_client_9,0.9483091787439614,0.1286099158902539
Fed_IBS_client_10,0.9333463643471462,0.17410256427902063
FED_CI_client_1,0.9086646987324188,0.21514838131891767
FED_CI_client_2,0.9174679487179487,0.17092620192628225
FED_CI_client_3,0.92008681925809,0.1775460734747325
FED_CI_client_4,0.9281591424448568,0.1613768054234308
FED_CI_client_5,0.9511254019292604,0.1695098598636977
FED_CI_client_6,0.9098175662967839,0.18826984125738142
FED_CI_client_7,0.9309605488850772,0.14583914102743384
FED_CI_client_8,0.9259042033235582,0.1698488767353034
FED_CI_client_9,0.946376811594203,0.1286099158902539
FED_CI_client_10,0.9317826426896012,0.17410256427902063
Federated_ibs_S,0.9329171512999611,0.15449785701757357
Federated_ci_S,0.9321474576208867,0.15449785701757357
