client_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
4,100,4,1,log2,2,False
1,300,4,1,log2,40,False
3,200,4,2,sqrt,40,True
5,900,10,3,sqrt,2,True
2,400,2,4,log2,2,True
