client_id,CI,IBS

3,1.0,0.23083908995130667

6,0.6470588235294118,0.1616257397643546

5,0.9090909090909091,0.18604419448549123

4,0.7777777777777778,0.14390146507425927

2,0.8,0.27161080041392366

10,0.5128205128205128,0.22614914043955747

1,0.5945945945945946,0.22574636024199538

8,0.46875,0.24028956765147064

9,0.7,0.21371333861201178

7,0.7692307692307693,0.24866558819163337

Fed_IBS_client_1,0.6756756756756757,0.24370731608206106

Fed_IBS_client_2,0.8,0.2659637008422151

Fed_IBS_client_3,0.9583333333333334,0.24985788447646154

Fed_IBS_client_4,0.6666666666666666,0.16469382589118933

Fed_IBS_client_5,0.9545454545454546,0.20409330843196136

Fed_IBS_client_6,0.8823529411764706,0.15835005841170602

Fed_IBS_client_7,0.8461538461538461,0.24155853870295163

Fed_IBS_client_8,0.4375,0.26991173044602734

Fed_IBS_client_9,0.8666666666666667,0.229125080958841

Fed_IBS_client_10,0.7435897435897436,0.24250202831754594

FED_CI_client_1,0.5675675675675675,0.22094623810540515

FED_CI_client_2,0.8333333333333334,0.2505638777328862

FED_CI_client_3,0.9166666666666666,0.2350569620726982

FED_CI_client_4,0.6666666666666666,0.16031890713926195

FED_CI_client_5,0.9545454545454546,0.1956315496391914

FED_CI_client_6,0.8235294117647058,0.15544130187667166

FED_CI_client_7,0.8461538461538461,0.2347716258578267

FED_CI_client_8,0.4375,0.2733548351349172

FED_CI_client_9,0.8,0.2191226285659458

FED_CI_client_10,0.6923076923076923,0.23121205495616265

Federated_ibs_S,0.7943352896146977,0.2257726687995836

Federated_ci_S,0.7871906098494514,0.21717370660174343
