client_id,CI,IBS
2,0.711864406779661,0.18743982479787838
1,0.6338028169014085,0.16757343744948983
Fed_IBS_client_1,0.6901408450704225,0.16765425123305722
Fed_IBS_client_2,0.8305084745762712,0.18953301937124625
FED_CI_client_1,0.7183098591549296,0.16779119581593485
FED_CI_client_2,0.9152542372881356,0.18821999787377613
Federated_ibs_S,0.6503378378378378,0.16791538402759984
Federated_ci_S,0.5202702702702703,0.16676659315452222
2,0.6666666666666666,0.16521405620031562
1,0.7435897435897436,0.22227451729902742
Fed_IBS_client_1,0.8653846153846154,0.22473728805480406
Fed_IBS_client_2,0.7569444444444444,0.16559882554149227
FED_CI_client_1,0.9230769230769231,0.22361278988877567
FED_CI_client_2,0.7916666666666666,0.1669239833830061
Federated_ibs_S,0.5962837837837838,0.1682800090381073
Federated_ci_S,0.6368243243243243,0.16811962470712666
2,0.6666666666666666,0.16521405620031562
1,0.7435897435897436,0.22227451729902742
Fed_IBS_client_1,0.8653846153846154,0.22473728805480406
Fed_IBS_client_2,0.7569444444444444,0.16559882554149227
FED_CI_client_1,0.9230769230769231,0.22361278988877567
FED_CI_client_2,0.7916666666666666,0.1669239833830061
Federated_ibs_S,0.5962837837837838,0.1682800090381073
Federated_ci_S,0.6368243243243243,0.16811962470712666
