client_id,CI,IBS
5,0.683698296836983,0.21182816780687289
1,0.6242603550295858,0.18156863972460316
6,0.5804347826086956,0.22036827001829667
10,0.6912065439672802,0.19853600353189746
8,0.5290404040404041,0.1887743065300837
3,0.5717592592592593,0.21089272887560256
9,0.593607305936073,0.21954849474128268
2,0.5572354211663066,0.19332347952704756
7,0.6404494382022472,0.19099336564998887
4,0.6077586206896551,0.2115194053118005
Fed_IBS_client_1,0.7485207100591716,0.18201134297187316
Fed_IBS_client_2,0.6371490280777538,0.21044644162066237
Fed_IBS_client_3,0.6342592592592593,0.2263932796877205
Fed_IBS_client_4,0.6508620689655172,0.2116729134907287
Fed_IBS_client_5,0.5936739659367397,0.20730837509678096
Fed_IBS_client_6,0.5847826086956521,0.23069220716242753
Fed_IBS_client_7,0.6449438202247191,0.1983572738428778
Fed_IBS_client_8,0.6363636363636364,0.19763628734835487
Fed_IBS_client_9,0.5753424657534246,0.21994580576715825
Fed_IBS_client_10,0.65439672801636,0.19536448006495322
FED_CI_client_1,0.6952662721893491,0.18196069148903038
FED_CI_client_2,0.6285097192224622,0.21162624720309917
FED_CI_client_3,0.7604166666666666,0.22659787338214665
FED_CI_client_4,0.5883620689655172,0.21081197208953117
FED_CI_client_5,0.656934306569343,0.2073460394911617
FED_CI_client_6,0.6608695652173913,0.23129028085029193
FED_CI_client_7,0.6966292134831461,0.1974888148517463
FED_CI_client_8,0.5681818181818182,0.19637532466319355
FED_CI_client_9,0.6187214611872146,0.21919158982116224
FED_CI_client_10,0.6932515337423313,0.19567808835198142
Federated_ibs_S,0.63565901571008,0.1821203484700697
Federated_ci_S,0.6620509079540422,0.18200567414788973
