client_id,CI,IBS
2,0.8107441345282449,0.15596150370403428
5,0.8247483331154399,0.11407932179004503
1,0.8070814205055142,0.13010981107884434
4,0.8128279586326354,0.1378776001275483
8,0.7760537884665115,0.14151554595406873
3,0.7603658870570192,0.131455843929302
9,0.7775820988293795,0.14075500598601232
6,0.7722186935066204,0.1426341486222106
7,0.8079419819454305,0.14560860319153401
10,0.7747041809098081,0.13561505292125828
Fed_IBS_client_1,0.8176877209645929,0.13498355724244074
Fed_IBS_client_2,0.8444768905447588,0.16008810344247967
Fed_IBS_client_3,0.7776743167004436,0.1311949483582164
Fed_IBS_client_4,0.8157827703907484,0.1382860493337376
Fed_IBS_client_5,0.8406327624526082,0.11528079414176844
Fed_IBS_client_6,0.7910783211999804,0.14522191071811147
Fed_IBS_client_7,0.8079419819454305,0.14486997767019025
Fed_IBS_client_8,0.7856736488233773,0.14798889602803472
Fed_IBS_client_9,0.7930177147000932,0.1447106355659999
Fed_IBS_client_10,0.7948461740731002,0.14131939439656613
FED_CI_client_1,0.8175294179726663,0.13521924332719326
FED_CI_client_2,0.8458866176618669,0.16046291730423867
FED_CI_client_3,0.7767979405159665,0.13147410865729392
FED_CI_client_4,0.8139487492995058,0.1386871409648508
FED_CI_client_5,0.8422015949797359,0.11548323664653971
FED_CI_client_6,0.7908340255044706,0.14558130561755928
FED_CI_client_7,0.8061669540521351,0.14520898116399258
FED_CI_client_8,0.7858805275407292,0.1483051527193442
FED_CI_client_9,0.793380296280949,0.14509177613571939
FED_CI_client_10,0.7942676834078359,0.141605202560614
Federated_ibs_S,0.8071017357119175,0.13088628739560287
Federated_ci_S,0.8074093006404117,0.1311492693481608
