client_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
16,100,2,1,sqrt,20,True
19,400,4,3,sqrt,10,True
20,300,6,1,sqrt,10,True
2,200,6,3,sqrt,5,False
17,100,8,3,sqrt,40,False
1,100,2,1,sqrt,2,True
15,1000,6,5,log2,20,True
13,800,8,5,sqrt,10,True
7,700,10,2,sqrt,5,True
8,800,2,2,log2,20,True
18,800,2,1,log2,5,True
3,900,4,4,log2,40,True
12,600,2,2,sqrt,10,True
10,900,10,1,log2,40,True
9,600,6,5,sqrt,20,False
14,600,4,5,log2,10,True
4,800,10,2,sqrt,20,False
5,500,2,5,sqrt,40,False
6,1000,6,2,sqrt,40,True
11,900,6,1,sqrt,10,False
