client_id,CI,IBS

1,0.8120878379517971,0.13338215619862742

2,0.8243580322303529,0.13921325794700096

Fed_IBS_client_1,0.8226653432791444,0.13009687394424813

Fed_IBS_client_2,0.8450809620057684,0.13437786671654525

FED_CI_client_1,0.8226882985142497,0.1302530441719264

FED_CI_client_2,0.8464696931846569,0.1345978669340813

Federated_ibs_S,0.8302249158313687,0.13639772966290317

Federated_ci_S,0.8308191794580327,0.1365741508588531

2,0.8172420610036328,0.13388827584408874

1,0.8061605255020601,0.1330410378911151

Fed_IBS_client_1,0.8285884512224664,0.13771109247247404

Fed_IBS_client_2,0.8358862558444616,0.14818843549774602

FED_CI_client_1,0.8280690421266965,0.17618875371962545

FED_CI_client_2,0.836700906522251,0.13904711836621061

Federated_ibs_S,0.8394126266044334,0.16363740021836898

Federated_ci_S,0.8414208718840138,0.17257243720087673

2,0.8089836641895433,0.14086942271781253

1,0.825796521598815,0.140117913578013

Fed_IBS_client_1,0.8151829443964276,0.13815094588748936

Fed_IBS_client_2,0.8454177401545823,0.17203381592176464

FED_CI_client_1,0.8196975770253738,0.17845721530087633

FED_CI_client_2,0.839017342306816,0.17203381592176464

Federated_ibs_S,0.8300833337564585,0.17758074385616243

Federated_ci_S,0.8366483946282417,0.17758074385616243

1,0.8111214142181462,0.13717285510531432

2,0.8185979303925188,0.12856465524632313

Fed_IBS_client_1,0.8215554878667886,0.13643325896167982

Fed_IBS_client_2,0.8339271224955329,0.1318513179860754

FED_CI_client_1,0.8207281007036031,0.13692834445703964

FED_CI_client_2,0.8347811728374811,0.13239306230049533

Federated_ibs_S,0.8222935131250003,0.13804358990749727

Federated_ci_S,0.8244378016074707,0.13856373435747554

1,0.811605290587652,0.13905051605635046

2,0.806553589245392,0.13894513489096655

Fed_IBS_client_1,0.8118290536462681,0.1375216543729172

Fed_IBS_client_2,0.8286892203751908,0.13498394546164955

FED_CI_client_1,0.8145428049316463,0.13761459695572315

FED_CI_client_2,0.8309296837516472,0.1350858530376612

Federated_ibs_S,0.8287682227333942,0.13746795323769148

Federated_ci_S,0.8303683223989695,0.13754488439429674

2,0.8037211186992969,0.13834780845589728

1,0.8230199748568235,0.13195744168850246

Fed_IBS_client_1,0.8433139056713658,0.128842820239366

Fed_IBS_client_2,0.832624655664788,0.14085308512617828

FED_CI_client_1,0.840972138865549,0.12875482512739683

FED_CI_client_2,0.831458970406126,0.14073427339958408

Federated_ibs_S,0.8240527134426924,0.13853115531820387

Federated_ci_S,0.8247529424909513,0.13847783568952704

2,0.7849560250174307,0.13992997115023503

1,0.8224158607562905,0.13247348116100746

Fed_IBS_client_1,0.8266667238999933,0.13558412126090685

Fed_IBS_client_2,0.8405966482257947,0.14050989434261785

FED_CI_client_1,0.8307939621702018,0.13597395614867383

FED_CI_client_2,0.8373229313735109,0.14094742579233527

Federated_ibs_S,0.8309168289691986,0.13569691451061053

Federated_ci_S,0.8343846776545326,0.13616274184387006

1,0.8001629167468569,0.13104762357220634

2,0.8188048708791145,0.1259483867406541

Fed_IBS_client_1,0.829593348475762,0.18531517294110172

Fed_IBS_client_2,0.8280990572365398,0.1697038274545931

FED_CI_client_1,0.8298545449226545,0.18531517294110172

FED_CI_client_2,0.8202756818926521,0.1697038274545931

Federated_ibs_S,0.8400437367721791,0.17505681832376108

Federated_ci_S,0.8398319708010674,0.17505681832376108

2,0.8014865722139988,0.13696567628219689

1,0.8122462663953011,0.12523588181032022

Fed_IBS_client_1,0.8414679723615072,0.1728936730516299

Fed_IBS_client_2,0.8275535146500184,0.1710564317450359

FED_CI_client_1,0.8405547720002313,0.17139903633026057

FED_CI_client_2,0.8256788626537935,0.1710564317450359

Federated_ibs_S,0.8319968435968023,0.18127714185865956

Federated_ci_S,0.837234474360709,0.18127714185865956

1,0.8016542129868687,0.12521412215625666

2,0.8275603990204705,0.1363495529030983

Fed_IBS_client_1,0.8275378072566023,0.17479157376405824

Fed_IBS_client_2,0.8384297999118241,0.16155681717657994

FED_CI_client_1,0.8273429872547869,0.17479157376405824

FED_CI_client_2,0.8383540932794777,0.16155681717657994

Federated_ibs_S,0.8370599850331538,0.17506416308944994

Federated_ci_S,0.8371251769277698,0.17506416308944994

2,0.7993095583022531,0.12518793577813525

1,0.7990920053293443,0.137271276487906

Fed_IBS_client_1,0.8254254211266547,0.17232022742882844

Fed_IBS_client_2,0.8409422614191014,0.18568847074761802

FED_CI_client_1,0.8245353918168837,0.17232022742882844

FED_CI_client_2,0.8409121578837007,0.18568847074761802

Federated_ibs_S,0.8253789019597266,0.17897070383645167

Federated_ci_S,0.8329058465153006,0.17897070383645167

2,0.8016732513186986,0.1367632944198524

1,0.8056864950481702,0.1355074889167357

Fed_IBS_client_1,0.8349805987941932,0.17754784371349613

Fed_IBS_client_2,0.8277613461630606,0.16856574914163563

FED_CI_client_1,0.8365172855861776,0.17754784371349613

FED_CI_client_2,0.823049296296135,0.16856574914163563

Federated_ibs_S,0.8336656904594404,0.1836301465875062

Federated_ci_S,0.8332184335664828,0.1836301465875062

1,0.8041669092712426,0.14743248797073122

2,0.8092650075951416,0.13291248486518856

Fed_IBS_client_1,0.8420735716357148,0.13693155160996903

