client_id,CI,IBS

baseline,0.6272977704546625,0.18244926494958708

baseline,0.626637470708002,0.18405092571958773

baseline,0.6538505725117757,0.17799071466667485

baseline,0.6514534694673864,0.1768927778729626

baseline,0.6504049388420418,0.19358987531064278

baseline,0.6199031341921087,0.19058105921294924

baseline,0.651578225628719,0.19984413155427466

baseline,0.6437836050314157,0.20599928158775135

baseline,0.6586437514581227,0.18570690201733026

baseline,0.6320565593927082,0.1826832556161308

baseline,0.6636485082380882,0.17740784427500428

baseline,0.6245346501720676,0.1925038398066741

baseline,0.6769210084033613,0.18637003390275078

baseline,0.6334077701248386,0.18708218921872252

baseline,0.6487431783230583,0.20489981348905048

baseline,0.6467733259947712,0.19938838758903446

baseline,0.6352892195705019,0.1807462575997644

baseline,0.6440576073603597,0.17709145568569334

baseline,0.6217554801430799,0.17266543989782776

baseline,0.6493154142217175,0.17984327425951693

baseline,0.6522761829263538,0.18510318844729595

baseline,0.6747343864898445,0.16279788509964999

baseline,0.6538916998600495,0.1843377644830904

baseline,0.6455641959593159,0.1915912667058123

baseline,0.6753566700985439,0.19237312052953903

baseline,0.6527709566521054,0.18941332643465583

baseline,0.6368807083771424,0.17482771620058585

baseline,0.6436032841228848,0.17069039910849115

baseline,0.6436805033689547,0.18514755278940204

baseline,0.6531878532930195,0.19137076845401027

